	date_changed	date_created	date_original	country_href	country_name	country_location_lon	country_location_lat	country_id	country_shortname	country_iso3	country_primary	primary_country_href	primary_country_name	primary_country_location	primary_country_id	primary_country_shortname	primary_country_iso3	format_name	format_id	disaster_type_code	disaster_type_name	disaster_type_id	language_code	language_name	language_id	source_href	source_longname	source_name	source_id	source_type	source_shortname	source_homepage	theme_name	theme_id	vulnerable_groups_name	vulnerable_groups_id	source_spanish_name	file_preview	file_filename	file_description	file_mimetype	file_id	file_filesize	file_url	source_disclaimer	disaster_name	disaster_id	disaster_glide	disaster_type	disaster_status	image_copyright	image_filename	image_url-thumb	image_url-small	image_width	image_caption	image_mimetype	image_url-large	image_id	image_filesize	image_url	image_height	ocha_product_name	ocha_product_id	headline_summary	headline_image	headline_title
0	2017-10-13T06:15:02+00:00	2017-10-13T02:09:29+00:00	2017-10-12T00:00:00+00:00	https://api.reliefweb.int/v1/countries/119	India	79.28	22.76	119	India	ind	True	https://api.reliefweb.int/v1/countries/119	India	{'lon': 79.28, 'lat': 22.76}	119	India	ind	News and Press Release	8	FL	Flood	4611	en	English	267	https://api.reliefweb.int/v1/sources/495	Government of India	Government of India	495	{'name': 'Government', 'id': 271}	Govt. India	https://www.india.gov.in/	Disaster Management	4591	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1	2017-10-13T05:35:04+00:00	2017-10-13T02:09:29+00:00	2017-10-12T00:00:00+00:00	https://api.reliefweb.int/v1/countries/165	Myanmar	96.51	21.15	165	Myanmar	mmr	True	https://api.reliefweb.int/v1/countries/165	Myanmar	{'lon': 96.51, 'lat': 21.15}	165	Myanmar	mmr	News and Press Release	8	EP	Epidemic	4642	en	English	267	https://api.reliefweb.int/v1/sources/13215	 	The Global New Light of Myanmar	13215	{'name': 'Media', 'id': 273}	The Global New Light of Myanmar	http://globalnewlightofmyanmar.com/	Health	4595	Children	6871	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	2018-12-21T07:58:02+00:00	2018-12-21T01:59:27+00:00	2018-12-20T00:00:00+00:00	https://api.reliefweb.int/v1/countries/254	World	9.4	17.43	254	World	wld	True	https://api.reliefweb.int/v1/countries/254	World	 	254	World	wld	News and Press Release	8	 	 	 	fr	French	268	https://api.reliefweb.int/v1/sources/1430	United Nations Security Council	UN Security Council	1430	{'name': 'International Organization', 'id': 272}	UN SC	http://www.un.org/en/sc/	Peacekeeping and Peacebuilding	4599	 	 	El Consejo de Seguridad	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	2018-12-21T00:30:08+00:00	2018-11-17T00:00:00+00:00	2018-11-17T00:00:00+00:00	https://api.reliefweb.int/v1/countries/241	Ukraine	31.32	49.32	241	Ukraine	ukr	True	https://api.reliefweb.int/v1/countries/241	Ukraine	{'lon': 31.32, 'lat': 49.32}	241	Ukraine	ukr	Analysis	3	 	 	 	en	English	267	https://api.reliefweb.int/v1/sources/2831	European Union	European Union	2831	{'name': 'Government', 'id': 271}	EU	http://europa.eu/	Protection and Human Rights	4600	 	 	Unión Europea	{'url-thumb': 'https://reliefweb.int/sites/reliefweb.int/files/styles/m/public/resources-pdf-previews/1217794-Joint%20NDI%20EP%20PEAM%20Statement%20-%20Nov%2017%202018%20ENG%20FINAL.png', 'url-small': 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-small/public/resources-pdf-previews/1217794-Joint%20NDI%20EP%20PEAM%20Statement%20-%20Nov%2017%202018%20ENG%20FINAL.png', 'url-large': 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1217794-Joint%20NDI%20EP%20PEAM%20Statement%20-%20Nov%2017%202018%20ENG%20FINAL.png', 'url': 'https://reliefweb.int/sites/reliefweb.int/files/resources-pdf-previews/1217794-Joint%20NDI%20EP%20PEAM%20Statement%20-%20Nov%2017%202018%20ENG%20FINAL.png'}	Joint NDI EP PEAM Statement - Nov 17 2018 ENG FINAL.pdf		application/pdf	1217794	481309	https://reliefweb.int/sites/reliefweb.int/files/resources/Joint%20NDI%20EP%20PEAM%20Statement%20-%20Nov%2017%202018%20ENG%20FINAL.pdf	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	2017-10-13T06:14:07+00:00	2017-10-13T01:24:49+00:00	2017-10-12T00:00:00+00:00	https://api.reliefweb.int/v1/countries/188	Philippines	122.88	11.74	188	Philippines	phl	True	https://api.reliefweb.int/v1/countries/188	Philippines	{'lon': 122.88, 'lat': 11.74}	188	Philippines	phl	News and Press Release	8	 	 	 	en	English	267	https://api.reliefweb.int/v1/sources/697	Government of the Philippines	Government of the Philippines	697	{'name': 'Government', 'id': 271}	Govt. Philippines	http://www.gov.ph/	Water Sanitation Hygiene	4604	IDPs	6872	Gobierno de Filipinas	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	2017-10-13T05:03:47+00:00	2017-10-13T01:06:03+00:00	2017-10-04T00:00:00+00:00	https://api.reliefweb.int/v1/countries/188	Philippines	122.88	11.74	188	Philippines	phl	True	https://api.reliefweb.int/v1/countries/188	Philippines	{'lon': 122.88, 'lat': 11.74}	188	Philippines	phl	Situation Report	10	EQ	Earthquake	4628	en	English	267	https://api.reliefweb.int/v1/sources/697	Government of the Philippines	Government of the Philippines	697	{'name': 'Government', 'id': 271}	Govt. Philippines	http://www.gov.ph/	Health	4595	 	 	Gobierno de Filipinas	{'url-thumb': 'https://reliefweb.int/sites/reliefweb.int/files/styles/m/public/resources-pdf-previews/965564-Effects_of_Magnitude_5_4_Earthquake_Wao_Lanao_Del_Sur_%28ARMM%29_04Oct2017.png', 'url-small': 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-small/public/resources-pdf-previews/965564-Effects_of_Magnitude_5_4_Earthquake_Wao_Lanao_Del_Sur_%28ARMM%29_04Oct2017.png', 'url-large': 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/965564-Effects_of_Magnitude_5_4_Earthquake_Wao_Lanao_Del_Sur_%28ARMM%29_04Oct2017.png', 'url': 'https://reliefweb.int/sites/reliefweb.int/files/resources-pdf-previews/965564-Effects_of_Magnitude_5_4_Earthquake_Wao_Lanao_Del_Sur_%28ARMM%29_04Oct2017.png'}	Effects_of_Magnitude_5_4_Earthquake_Wao_Lanao_Del_Sur_(ARMM)_04Oct2017.pdf		application/pdf	965564	886153	https://reliefweb.int/sites/reliefweb.int/files/resources/Effects_of_Magnitude_5_4_Earthquake_Wao_Lanao_Del_Sur_%28ARMM%29_04Oct2017.pdf	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	2018-12-21T00:22:46+00:00	2018-12-20T22:36:42+00:00	2018-12-20T00:00:00+00:00	https://api.reliefweb.int/v1/countries/173	Nicaragua	-85.03	12.84	173	Nicaragua	nic	True	https://api.reliefweb.int/v1/countries/173	Nicaragua	{'lon': -85.03, 'lat': 12.84}	173	Nicaragua	nic	News and Press Release	8	 	 	 	en	English	267	https://api.reliefweb.int/v1/sources/1966	Human Rights Watch	Human Rights Watch	1966	{'name': 'Non-governmental Organization', 'id': 274}	HRW	http://www.hrw.org/	Protection and Human Rights	4600	 	 	 	 	 	 	 	 	 	 	© Copyright, Human Rights Watch - 350 Fifth Avenue, 34th Floor   New York, NY 10118-3299 USA	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	2017-10-13T06:53:12+00:00	2017-10-13T00:50:51+00:00	2017-10-12T00:00:00+00:00	https://api.reliefweb.int/v1/countries/71	Cuba	-79.24	21.95	71	Cuba	cub	True	https://api.reliefweb.int/v1/countries/71	Cuba	{'lon': -79.24, 'lat': 21.95}	71	Cuba	cub	Situation Report	10	TC	Tropical Cyclone	4618	es	Spanish	269	https://api.reliefweb.int/v1/sources/3532	United Nations Country Team in Cuba	UN Country Team in Cuba	3532	{'name': 'International Organization', 'id': 272}	UNCT Cuba	http://www.onu.org.cu/	Water Sanitation Hygiene	4604	 	 	Equipo de las Naciones Unidas en Cuba	{'url-thumb': 'https://reliefweb.int/sites/reliefweb.int/files/styles/m/public/resources-pdf-previews/965554-SitRep%2019%20Hurac%C3%A1n%20Irma%20SNU%20Cuba%2012102017.png', 'url-small': 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-small/public/resources-pdf-previews/965554-SitRep%2019%20Hurac%C3%A1n%20Irma%20SNU%20Cuba%2012102017.png', 'url-large': 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/965554-SitRep%2019%20Hurac%C3%A1n%20Irma%20SNU%20Cuba%2012102017.png', 'url': 'https://reliefweb.int/sites/reliefweb.int/files/resources-pdf-previews/965554-SitRep%2019%20Hurac%C3%A1n%20Irma%20SNU%20Cuba%2012102017.png'}	SitRep 19 Huracán Irma SNU Cuba 12102017.pdf		application/pdf	965554	598165	https://reliefweb.int/sites/reliefweb.int/files/resources/SitRep%2019%20Hurac%C3%A1n%20Irma%20SNU%20Cuba%2012102017.pdf	 	Hurricane Irma - Sep 2017	43824	TC-2017-000125-DOM	[{'code': 'TC', 'name': 'Tropical Cyclone', 'id': 4618, 'primary': True}]	past	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	2018-12-21T00:22:32+00:00	2018-12-20T22:13:39+00:00	2018-12-17T00:00:00+00:00	https://api.reliefweb.int/v1/countries/241	Ukraine	31.32	49.32	241	Ukraine	ukr	True	https://api.reliefweb.int/v1/countries/241	Ukraine	{'lon': 31.32, 'lat': 49.32}	241	Ukraine	ukr	Analysis	3	 	 	 	en	English	267	https://api.reliefweb.int/v1/sources/1313	Tufts University Feinstein International Famine Center	Tufts University	1313	{'name': 'Academic and Research Institution', 'id': 270}	Tufts Univ.	http://www.tufts.edu/	Recovery and Reconstruction	4601	IDPs	6872	 	{'url-thumb': 'https://reliefweb.int/sites/reliefweb.int/files/styles/m/public/resources-pdf-previews/1217784-RIT-Report-Pokrovsk-Ukraine.png', 'url-small': 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-small/public/resources-pdf-previews/1217784-RIT-Report-Pokrovsk-Ukraine.png', 'url-large': 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1217784-RIT-Report-Pokrovsk-Ukraine.png', 'url': 'https://reliefweb.int/sites/reliefweb.int/files/resources-pdf-previews/1217784-RIT-Report-Pokrovsk-Ukraine.png'}	RIT-Report-Pokrovsk-Ukraine.pdf		application/pdf	1217784	1786287	https://reliefweb.int/sites/reliefweb.int/files/resources/RIT-Report-Pokrovsk-Ukraine.pdf	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	2017-10-13T06:04:49+00:00	2017-10-13T00:40:47+00:00	2017-10-11T00:00:00+00:00	https://api.reliefweb.int/v1/countries/251	Viet Nam	108.34	14.32	251	Viet Nam	vnm	True	https://api.reliefweb.int/v1/countries/251	Viet Nam	{'lon': 108.34, 'lat': 14.32}	251	Viet Nam	vnm	News and Press Release	8	 	 	 	en	English	267	https://api.reliefweb.int/v1/sources/310	Government of Viet Nam	Government of Viet Nam	310	{'name': 'Government', 'id': 271}	Govt. Viet Nam	http://www.mofa.gov.vn/	Health	4595	Children	6871	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
