	Country	Chikungunya_2018	Chikungunya_2013	Chikungunya_2014	Chikungunya_2015	Chikungunya_2016	Chikungunya_2017	Dengue_2013	Dengue_2014	Dengue_2015	Dengue_2016	Dengue_2017	Dengue_2018	Zika_2015	Zika_2016	Zika_2017	Zika_2018
0	Austria	1	0	.	.	9	5	89	91	103	116	85	85	1	41	8	0
1	Belgium	3	7	74	44	29	10	139	110	108	114	77	101	1	120	42	2
2	Bulgaria	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3	Croatia	0	0	0	0	0	.	3	2	.	2	0	2	.	.	0	0
4	Cyprus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5	Czech Republic	6	0	3	1	7	0	0	0	0	0	0	0	.	13	4	2
6	Denmark	.	.	.	.	.	.	.	.	.	.	.	.	.	8	6	0
7	Estonia	0	0	0	0	0	0	0	9	12	9	8	6	.	0	0	0
8	Finland	1	1	4	7	0	5	80	38	54	66	25	56	1	6	2	0
9	France	16	11	550	52	45	37	271	212	167	297	264	333	.	1141	28	10
10	Germany	26	16	162	110	74	33	877	626	722	958	635	613	.	.	69	18
11	Greece	1	0	1	0	2	0	1	4	2	2	1	2	.	2	1	2
12	Hungary	3	0	2	2	1	1	10	6	12	24	17	14	.	2	0	1
13	Iceland	.	.	.	.	.	.	0	0	0	0	1	1	.	.	.	.
14	Ireland	0	0	1	1	1	0	15	21	8	18	10	17	1	15	4	0
15	Italy	4	3	39	18	17	289	142	79	103	106	95	108	.	101	25	2
16	Latvia	0	0	0	2	0	0	7	1	4	9	13	12	0	0	0	0
17	Liechtenstein	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
18	Lithuania	0	0	0	0	0	0	1	3	9	4	4	8	.	.	0	0
19	Luxembourg	0	0	0	0	0	0	0	0	0	1	0	1	.	2	1	0
20	Malta	0	0	0	0	1	0	0	0	1	1	3	1	.	2	0	0
21	Netherlands	0	.	33	24	7	0	.	3	18	6	0	0	11	98	6	3
22	Norway	.	.	.	.	.	.	57	73	98	64	35	49	.	8	4	0
23	Poland	0	0	0	0	0	0	13	15	12	41	29	30	.	.	.	.
24	Portugal	1	.	.	0	3	0	.	.	14	13	11	14	.	18	1	0
25	Romania	2	0	0	0	0	0	6	6	7	8	7	4	.	3	0	0
26	Slovakia	0	0	0	0	0	0	4	0	2	4	2	7	.	3	0	0
27	Slovenia	0	0	0	0	2	0	8	2	3	6	5	8	.	7	0	0
28	Spain	27	2	272	234	105	51	0	0	168	261	128	181	10	301	44	9
29	Sweden	10	6	19	23	20	13	220	119	159	225	106	106	1	34	16	0
30	United Kingdom	59	26	301	106	169	104	571	376	423	468	465	432	3	194	14	2
31	EU/EEA	160	72	1461	624	492	548		1796	2209	2823	2026	2191	29	2119	275	51
