Country;Cases_2010;Rate_2010;Cases_2011;Rate_2011;Cases_2012;Rate_2012;Cases_2014;Rate_2014;National data_2014;Report type;Reported cases;Rate;ASR*;Confirmed cases
Austria;11;0,1;0;0;2;0;89;1,1;Y;C;91;1,1;1,1;91
Belgium;129;1,2;41;0,4;73;0,7;139;1,2;Y;C;110;1;1;110
Bulgaria;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Croatia;.;.;.;.;1;0;3;0,1;Y;A;2;0;0;2
Cyprus;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Czech Republic;0;0;0;0;0;0;0;0;Y;C;0;0;0;0
Denmark;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Estonia;0;0;0;0;0;0;0;0;Y;C;9;0,7;0,7;9
Finland;50;0,9;45;0,8;90;1,7;80;1,5;Y;C;38;0,7;0,8;38
France;596;0,9;55;0,1;110;0,2;271;0,4;Y;C;212;0,3;0,3;85
Germany;595;0,7;288;0,4;616;0,8;878;1,1;Y;C;626;0,8;0,8;626
Greece;0;0;0;0;0;0;1;0;Y;C;4;0;0;4
Hungary;7;0,1;2;0;3;0;10;0,1;Y;C;6;0,1;0,1;2
Iceland;0;0;0;0;0;0;0;0;Y;C;0;0;0;0
Ireland;0;0;0;0;7;0,2;15;0,3;Y;C;21;0,5;0,5;21
Italy;51;0,1;44;0,1;74;0,1;142;0,2;Y;C;79;0,1;0,1;79
Latvia;8;0,4;2;0,1;7;0,3;7;0,3;Y;C;1;0;0,1;1
Liechtenstein;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Lithuania;0;0;1;0;0;0;1;0;Y;C;3;0,1;0,1;3
Luxembourg;2;0,4;1;0,2;0;0;0;0;Y;C;0;0;0;0
Malta;1;0,2;0;0;0;0;0;0;Y;C;0;0;0;0
Netherlands;.;.;.;.;.;.;.;.;N;C;3;-;-;0
Norway;.;.;.;.;30;0,6;57;1,1;Y;C;73;1,4;1,5;73
Poland;6;0;5;0;5;0;13;0;Y;C;15;0;0;5
Portugal;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Romania;0;0;2;0;3;0;6;0;Y;C;6;0;0;6
Slovakia;0;0;0;0;3;0,1;4;0,1;Y;C;0;0;0;0
Slovenia;8;0,4;8;0,4;10;0,5;8;0,4;Y;C;2;0,1;0,1;2
Spain;0;0;0;0;0;0;0;0;.;.;.;.;.;.
Sweden;151;1,6;103;1,1;175;1,8;220;2,3;Y;C;119;1,2;1,3;119
United Kingdom;7;0;13;0;0;0;571;0,9;Y;C;376;0,6;0,6;234
EU/EEA;1622;0,4;610;0,1;1209;0,3;2515;0,5;.;C;1796;0,4;0,4;1510
